Metric,Rank,State,Value
Highest Total Activity,1,Uttar Pradesh," 16,830,225"
Highest Total Activity,2,Maharashtra," 13,209,048"
Highest Total Activity,3,Bihar," 9,011,566"
Highest Total Activity,4,Madhya Pradesh," 8,412,263"
Highest Total Activity,5,Tamil Nadu," 6,474,457"
Highest Enrolments,1,Uttar Pradesh,"1,002,631"
Highest Enrolments,2,Bihar,"593,753"
Highest Enrolments,3,Madhya Pradesh,"487,892"
Highest Enrolments,4,West Bengal,"369,249"
Highest Enrolments,5,Maharashtra,"363,446"
Highest Maturity Index,1,Andaman and Nicobar Islands,50.3x
Highest Maturity Index,2,Chandigarh,50.0x
Highest Maturity Index,3,Andhra Pradesh,42.3x
Highest Maturity Index,4,Goa,41.3x
Highest Maturity Index,5,Chhattisgarh,39.9x
Highest Bio Preference,1,Lakshadweep,5.20x
Highest Bio Preference,2,Dadra and Nagar Haveli and Daman and Diu,4.23x
Highest Bio Preference,3,Nagaland,3.93x
Highest Bio Preference,4,Andaman and Nicobar Islands,3.82x
Highest Bio Preference,5,Mizoram,3.78x
Highest Demo Preference,1,West Bengal,0.87x
Highest Demo Preference,2,Manipur,1.18x
Highest Demo Preference,3,Assam,1.25x
Highest Demo Preference,4,Ladakh,1.26x
Highest Demo Preference,5,Chandigarh,1.28x
